name,year,duration,genre,movie_url
The Shawshank Redemption,1994,2h 22min,Drama,https://www.imdb.com/title/tt0111161/
Back to the Future,1985,1h 56min,"Adventure,Comedy,Sci-Fi",https://www.imdb.com/title/tt0088763/
Casablanca,1942,1h 42min,"Drama,Romance,War",https://www.imdb.com/title/tt0034583/
C'era Una Volta Il West,1968,2h 45min,Western,https://www.imdb.com/title/tt0064116/
Pather Panchali,1955,2h 5min,Drama,https://www.imdb.com/title/tt0048473/
Rear Window,1954,1h 52min,"Mystery,Thriller",https://www.imdb.com/title/tt0047396/
Psycho,1960,1h 49min,"Horror,Mystery,Thriller",https://www.imdb.com/title/tt0054215/
The Lion King,1994,1h 28min,"Animation,Adventure,Drama",https://www.imdb.com/title/tt0110357/
Grave of the Fireflies,1988,1h 29min,"Animation,Drama,War",https://www.imdb.com/title/tt0095327/
Cinema Paradiso,1988,2h 35min,"Drama,Romance",https://www.imdb.com/title/tt0095765/
Terminator 2: Judgment Day,1991,2h 17min,"Action,Sci-Fi",https://www.imdb.com/title/tt0103064/
The Usual Suspects,1995,1h 46min,"Crime,Mystery,Thriller",https://www.imdb.com/title/tt0114814/
The Pianist,2002,2h 30min,"Biography,Drama,Music",https://www.imdb.com/title/tt0253474/
Gladiator,2000,2h 35min,"Action,Adventure,Drama",https://www.imdb.com/title/tt0172495/
Léon,1994,1h 50min,"Action,Crime,Drama",https://www.imdb.com/title/tt0110413/
The Departed,2006,2h 31min,"Crime,Drama,Thriller",https://www.imdb.com/title/tt0407887/
American History X,1998,1h 59min,Drama,https://www.imdb.com/title/tt0120586/
Intouchables,2011,1h 52min,"Biography,Comedy,Drama",https://www.imdb.com/title/tt1675434/
The Prestige,2006,2h 10min,"Drama,Mystery,Sci-Fi",https://www.imdb.com/title/tt0482571/
Whiplash,2014,1h 46min,"Drama,Music",https://www.imdb.com/title/tt2582802/
Shichinin No Samurai,1954,3h 27min,"Action,Adventure,Drama",https://www.imdb.com/title/tt0047478/
Idi I Smotri,1985,2h 22min,"Drama,Thriller,War",https://www.imdb.com/title/tt0091251/
Full Metal Jacket,1987,1h 56min,"Drama,War",https://www.imdb.com/title/tt0093058/
Reservoir Dogs,1992,1h 39min,"Crime,Drama,Thriller",https://www.imdb.com/title/tt0105236/
It's a Wonderful Life,1946,2h 10min,"Drama,Family,Fantasy",https://www.imdb.com/title/tt0038650/
Braveheart,1995,2h 58min,"Biography,Drama,History",https://www.imdb.com/title/tt0112573/
Toy Story,1995,1h 21min,"Animation,Adventure,Comedy",https://www.imdb.com/title/tt0114709/
Bacheha-Ye Aseman,1997,1h 29min,"Drama,Family,Sport",https://www.imdb.com/title/tt0118849/
American Beauty,1999,2h 2min,Drama,https://www.imdb.com/title/tt0169547/
Requiem for a Dream,2000,1h 42min,Drama,https://www.imdb.com/title/tt0180093/
Snatch,2000,1h 44min,"Comedy,Crime",https://www.imdb.com/title/tt0208092/
Good Will Hunting,1997,2h 6min,"Drama,Romance",https://www.imdb.com/title/tt0119217/
Eternal Sunshine of the Spotless Mind,2004,1h 48min,"Drama,Romance,Sci-Fi",https://www.imdb.com/title/tt0338013/
Le fabuleux destin d'Amélie Poulain,2001,2h 2min,"Comedy,Romance",https://www.imdb.com/title/tt0211915/
Inglourious Basterds,2009,2h 33min,"Adventure,Drama,War",https://www.imdb.com/title/tt0361748/
The Father,2020,1h 37min,Drama,https://www.imdb.com/title/tt10272386/
Demon Slayer: Mugen Train,2020,1h 57min,"Animation,Action,Adventure",https://www.imdb.com/title/tt11032374/
Incendies,2010,2h 11min,"Drama,Mystery,War",https://www.imdb.com/title/tt1255953/
Jagten,2012,1h 55min,Drama,https://www.imdb.com/title/tt2106476/
Jodaeiye Nader Az Simin,2011,2h 3min,Drama,https://www.imdb.com/title/tt1832382/
1917,2019,1h 59min,"Action,Drama,War",https://www.imdb.com/title/tt8579674/
The Great Dictator,1940,2h 5min,"Comedy,Drama,War",https://www.imdb.com/title/tt0032553/
Aliens,1986,2h 17min,"Action,Adventure,Sci-Fi",https://www.imdb.com/title/tt0090605/
Sunset Blvd.,1950,1h 50min,"Drama,Film-Noir",https://www.imdb.com/title/tt0043014/
My Neighbour Totoro,1988,1h 26min,"Animation,Family,Fantasy",https://www.imdb.com/title/tt0096283/
Die Hard,1988,2h 12min,"Action,Thriller",https://www.imdb.com/title/tt0095016/
Indiana Jones and the Last Crusade,1989,2h 7min,"Action,Adventure",https://www.imdb.com/title/tt0097576/
Heat,1995,2h 50min,"Crime,Drama,Thriller",https://www.imdb.com/title/tt0113277/
Unforgiven,1992,2h 10min,"Drama,Western",https://www.imdb.com/title/tt0105695/
Casino,1995,2h 58min,"Crime,Drama",https://www.imdb.com/title/tt0112641/
L.A. Confidential,1997,2h 18min,"Crime,Drama,Mystery",https://www.imdb.com/title/tt0119488/
Hauru No Ugoku Shiro,2004,1h 59min,"Animation,Adventure,Family",https://www.imdb.com/title/tt0347149/
A Beautiful Mind,2001,2h 15min,"Biography,Drama",https://www.imdb.com/title/tt0268978/
Eskiya,1996,2h 8min,"Crime,Drama,Thriller",https://www.imdb.com/title/tt0116231/
Batman Begins,2005,2h 20min,"Action,Adventure",https://www.imdb.com/title/tt0372784/
El Laberinto Del Fauno,2006,1h 58min,"Drama,Fantasy,War",https://www.imdb.com/title/tt0457430/
"Lock, Stock and Two Smoking Barrels",1998,1h 47min,"Action,Comedy,Crime",https://www.imdb.com/title/tt0120735/
There Will Be Blood,2007,2h 38min,Drama,https://www.imdb.com/title/tt0469494/
Der Untergang,2004,2h 36min,"Biography,Drama,History",https://www.imdb.com/title/tt0363163/
Babam Ve Oglum,2005,1h 52min,"Drama,Family",https://www.imdb.com/title/tt0476735/
Up,2009,1h 36min,"Animation,Adventure,Comedy",https://www.imdb.com/title/tt1049413/
The Wolf of Wall Street,2013,3h,"Biography,Comedy,Crime",https://www.imdb.com/title/tt0993846/
Kill Bill: Vol. 1,2003,1h 51min,"Action,Crime,Drama",https://www.imdb.com/title/tt0266697/
Before Sunset,2004,1h 20min,"Drama,Romance",https://www.imdb.com/title/tt0381681/
Salinui Chueok,2003,2h 11min,"Crime,Drama,Mystery",https://www.imdb.com/title/tt0353969/
Million Dollar Baby,2004,2h 12min,"Drama,Sport",https://www.imdb.com/title/tt0405159/
Toy Story 3,2010,1h 43min,"Animation,Adventure,Comedy",https://www.imdb.com/title/tt0435761/
No Country for Old Men,2007,2h 2min,"Crime,Drama,Thriller",https://www.imdb.com/title/tt0477348/
V for Vendetta,2005,2h 12min,"Action,Drama,Sci-Fi",https://www.imdb.com/title/tt0434409/
Hotel Rwanda,2004,2h 1min,"Biography,Drama,History",https://www.imdb.com/title/tt0395169/
Into the Wild,2007,2h 28min,"Adventure,Biography,Drama",https://www.imdb.com/title/tt0758758/
Mary and Max,2009,1h 32min,"Animation,Comedy,Drama",https://www.imdb.com/title/tt0978762/
Hachi: A Dog's Tale,2009,1h 33min,"Biography,Drama,Family",https://www.imdb.com/title/tt1028532/
How to Train Your Dragon,2010,1h 38min,"Animation,Action,Adventure",https://www.imdb.com/title/tt0892769/
Warrior,2011,2h 20min,"Action,Drama,Sport",https://www.imdb.com/title/tt1291584/
Harry Potter and the Deathly Hallows: Part 2,2011,2h 10min,"Adventure,Fantasy,Mystery",https://www.imdb.com/title/tt1201607/
Gran Torino,2008,1h 56min,Drama,https://www.imdb.com/title/tt1205489/
Prisoners,2013,2h 33min,"Crime,Drama,Mystery",https://www.imdb.com/title/tt1392214/
It Happened One Night,1934,1h 45min,"Comedy,Romance",https://www.imdb.com/title/tt0025316/
The General,1926,1h 7min,"Action,Adventure,Comedy",https://www.imdb.com/title/tt0017925/
Mad Max: Fury Road,2015,2h,"Action,Adventure,Sci-Fi",https://www.imdb.com/title/tt1392190/
La passion de Jeanne d'Arc,1928,1h 50min,"Biography,Drama,History",https://www.imdb.com/title/tt0019254/
